Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (km²)?","How many days would it take to walk from San Diego to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
1/14/2022 14:38:01,20,1750000,14
1/14/2022 14:38:01,10^1,10^6 km2,10^1
1/14/2022 14:38:02,10,1000,15
1/14/2022 14:38:02,180,76,12 dsys
1/14/2022 14:38:04,70,100,100
1/14/2022 14:38:04,18,28000,1978
1/14/2022 14:38:07,10 cm/yr ,1500,30
1/14/2022 14:38:13,20,"500,000",365
1/14/2022 14:38:13,120cm/year,300km^2,26 days
1/14/2022 14:38:14,15,100,8
1/14/2022 14:38:14,10cm/yr,not sure,1 year 
1/14/2022 14:38:16,4,70000,3
1/14/2022 14:38:21,6,6000000,180
1/14/2022 14:38:21,1000,100000,30
1/14/2022 14:38:25,30,100000,333
1/14/2022 14:38:25,15,2000,100
1/14/2022 14:38:26,6cm/yr,8 billion,400
1/14/2022 14:38:28,10,8*10^9,1 month
1/14/2022 14:38:29,10,60,200
1/14/2022 14:38:31,1000,10000,100
1/14/2022 14:38:37,10,2500,300
1/14/2022 14:38:38,30cm?,Size of The US?,1000 days
1/14/2022 14:38:38,19,like half of california,3 months
1/14/2022 14:38:39,45,63,600
1/14/2022 14:38:39,15,700,-1
1/14/2022 14:38:39,88,10000000,269
1/14/2022 14:38:41,10,1.5 million km^2,4 months
1/14/2022 14:38:43,9,1000,35
1/14/2022 14:38:43,15,700000,100
1/14/2022 14:38:43,7cm,777,40
1/14/2022 14:38:44,100000,4290000,150
1/14/2022 14:38:48,10,1000,100
1/14/2022 14:38:48,70,1.5 million,4 years
1/14/2022 14:38:48,15cm/yr,"1,050",38
1/14/2022 14:38:53,10 cm/yr,10 km^2,100 days
1/14/2022 14:38:54,7,75,5
1/14/2022 14:38:57,5,100,1000
1/14/2022 14:38:59,20,8000,65
1/14/2022 14:39:00,24 cm/yr,"3,000,000 km2",3 weeks
1/14/2022 14:39:02,30,5,55
1/14/2022 14:39:02,15cm,3500,50
1/14/2022 14:39:03,5cm/yr,"24,709,000 km squared",57 days
1/14/2022 14:39:12,1cm/yr,1billion,100
1/14/2022 14:39:13,20,7000000,200
1/14/2022 14:39:18,10,10000,10
1/14/2022 14:39:18,15,2.5,35
1/14/2022 14:39:18,20,420000,80
1/14/2022 14:39:19,"24cm/yr, cuz it grows 2cm in a month","7 billion km^2, if every takes 1 sq ft","45,000 minutes assuming ppl can usually walk a mile in 10 min and that SD is 3,000 miles away from NYC"
1/14/2022 14:39:20,15,14000,7
1/14/2022 14:39:21,15 cm/yr,"1,050km^2",too long lol
1/14/2022 14:39:21,60cm/yr,4 million km^2. ,one year
1/14/2022 14:39:23,36,40000,3 months
1/14/2022 14:39:24,8,100,100
1/14/2022 14:39:25,7cm,6500000,200000
1/14/2022 14:39:26,10,1000000,30
1/14/2022 14:39:34,50,20000,100
1/14/2022 14:39:34,15cm/yr,"1,050km2",37.9
1/14/2022 14:39:36,5 cm/year,2 million km^2,40 days
1/14/2022 14:39:39,20,52500000,52
1/14/2022 14:39:45,50,625,20
1/14/2022 14:39:47,10.16,3 million,3 months
1/14/2022 14:39:49,15 cm/yr,"1,00,000km^2",28 days
1/14/2022 14:39:58,14,1000,47
1/14/2022 14:39:59,8,4000000,36
1/14/2022 14:40:10,15,1050,100
1/14/2022 14:40:11,40,10,8
1/14/2022 14:40:11,25,7 million,40
1/14/2022 14:40:15,10,7x10^15,65
1/14/2022 14:40:16,1,15,34
1/14/2022 14:40:31,69 cm/yr,487.5,49
1/14/2022 14:40:35,35,1000,50
1/14/2022 14:40:37,26,7500000,2460 days
1/14/2022 14:40:40,15,100,200
1/14/2022 14:40:46,8,1400,50
1/14/2022 14:40:47,10,100000,50
1/14/2022 14:40:50,10 cm/year,600 km2,25 days
1/14/2022 14:40:51,12 cm/yr,5 million km^2,100 days
1/14/2022 14:40:53,14,70,48
1/14/2022 14:40:54,12cm/yr,the whole earth,120 days
1/14/2022 14:40:58,10,1550600,20
1/14/2022 14:40:59,60cm/yr,1.5 billion ft^2 to whatever that is in km^2,28 days
1/14/2022 14:41:07,30,609600,22
1/14/2022 14:41:08,"eh, I'm  bald",at least a couple km,"Takes a while, you know?"
1/14/2022 14:41:10,10,10,100
1/14/2022 14:43:05,22,30000,52
1/14/2022 14:44:02,10,10000,500
1/14/2022 14:45:11,10 cm approx.,"4,000,000 km^2",52
1/14/2022 14:45:37,15,10804,39
1/14/2022 21:52:53,12cm/yr,50000km^2,60
1/14/2022 23:07:32,40,280,465
1/14/2022 23:16:26,10,7000,180
1/15/2022 13:04:27,20,1500000,45
1/15/2022 17:42:52,3cm,1000000,400
1/16/2022 1:20:05,40,"10,000,000",250
1/16/2022 15:04:21,10,1260,40
1/16/2022 15:35:33,30,5000,20
1/16/2022 17:56:19,25,4000,60
1/16/2022 18:28:56,100,1000000,10
1/17/2022 13:10:38,12,1000000000,33
1/17/2022 16:36:55,1000000,140000000,7200
1/17/2022 20:46:52,1000000,10000,1000
1/18/2022 13:13:18,10,1000000,600
1/18/2022 13:20:58,20,10000,76
1/18/2022 14:10:30,130,3000,355
1/18/2022 14:37:47,120,2000000,250
1/18/2022 16:16:45,10,1000000,1000
1/18/2022 18:08:07,30,800,100
1/18/2022 18:32:56,15,80000,20
1/18/2022 23:34:59,10,70000,100
1/19/2022 0:00:39,20,500,20
1/25/2022 0:44:45,10,786,40
